Entry,Gene Names
G2Q4H3,MYCTH_2295317
G2Q4J3,MYCTH_2122542
G2Q4J6,MYCTH_2313485
G2Q4M3,MYCTH_99786
G2Q4Q3,MYCTH_2297213
G2Q4R3,MYCTH_2299084
G2Q4R4,MYCTH_2299088
G2Q4R7,MYCTH_2299092
G2Q4R8,MYCTH_2299099
G2Q4S6,MYCTH_89603
G2Q4S9,MYCTH_97617
G2Q4T6,MYCTH_2299134
G2Q4U0,MYCTH_2299142
G2Q4U4,MYCTH_2299149
G2Q4U8,MYCTH_2299155
G2Q4V3,MYCTH_2299158
G2Q4V4,MYCTH_109620
G2Q4V7,MYCTH_2299172
G2Q4W9,MYCTH_2051636
G2Q4X7,MYCTH_110317
G2Q4Y0,MYCTH_2141608
G2Q4Y1,MYCTH_76403
G2Q4Y2,MYCTH_2050660
G2Q4Z3,MYCTH_2295444
G2Q4Z4,MYCTH_2295445
G2Q501,MYCTH_2295497
G2Q506,MYCTH_62710
G2Q507,MYCTH_2054219
G2Q512,MYCTH_2089183
G2Q513,MYCTH_2297226
G2Q521,MYCTH_2033980
G2Q524,MYCTH_2089196
G2Q528,MYCTH_2142074
G2Q529,MYCTH_110670
G2Q530,MYCTH_2297263
G2Q532,MYCTH_2297267
G2Q539,MYCTH_2297281
G2Q561,MYCTH_2297319
G2Q566,MYCTH_2299193
G2Q567,MYCTH_2299195
G2Q569,MYCTH_2299199
G2Q572,MYCTH_2299207
G2Q573,MYCTH_2132763
G2Q575,MYCTH_2299217
G2Q578,MYCTH_2299223
G2Q583,MYCTH_2299238
G2Q586,MYCTH_59591
G2Q590,MYCTH_2299259
G2Q592,MYCTH_2299267
G2Q5A1,MYCTH_2299286
G2Q5A2,MYCTH_2299288
G2Q5A3,MYCTH_38365
G2Q5A8,MYCTH_2299299
G2Q5A9,MYCTH_2299301
G2Q5B3,MYCTH_2299308
G2Q5B9,MYCTH_2131791
G2Q5C3,MYCTH_2295512
G2Q5C4,MYCTH_2295514
G2Q5C7,MYCTH_2295521
G2Q5D8,MYCTH_86753
G2Q5F8,MYCTH_76502
G2Q5G4,MYCTH_2295601
G2Q5G5,MYCTH_2313529
G2Q5G7,MYCTH_2297322
G2Q5G8,MYCTH_2297323
G2Q5G9,MYCTH_2297324
G2Q5I3,MYCTH_2297358
G2Q5I4,MYCTH_2297359
G2Q5I7,MYCTH_2297364
G2Q5J0,MYCTH_2297371
G2Q5J1,MYCTH_92028
G2Q5J8,MYCTH_2297389
G2Q5K1,MYCTH_2297401
G2Q5L1,MYCTH_2297423
G2Q5L3,MYCTH_2297430
G2Q5N5,MYCTH_2299335
G2Q5P0,MYCTH_2086777
G2Q5P5,MYCTH_2299350
G2Q5Q5,MYCTH_2299373
G2Q5R1,MYCTH_2299388
G2Q5R4,MYCTH_112916
G2Q5R5,MYCTH_2299407
G2Q5R7,MYCTH_2299412
G2Q5S3,MYCTH_99178
G2Q5S5,MYCTH_2114693
G2Q5S9,MYCTH_2313535
G2Q5T2,MYCTH_2295629
G2Q5U1,MYCTH_2295642
G2Q5U2,MYCTH_2295647
G2Q5V3,MYCTH_2295684
G2Q5V6,MYCTH_2295699
G2Q5V7,MYCTH_42269
G2Q5V9,MYCTH_2295707
G2Q5X8,MYCTH_2297445
G2Q5Y5,MYCTH_2297465
G2Q5Z1,MYCTH_2297473
G2Q5Z6,MYCTH_2297482
G2Q5Z9,MYCTH_2132318
G2Q600,MYCTH_2297489
G2Q604,MYCTH_2142129
G2Q607,MYCTH_2297512
G2Q611,MYCTH_2313899
G2Q612,MYCTH_2297526
G2Q613,MYCTH_2313902
G2Q620,MYCTH_2297541
G2Q621,MYCTH_110717
G2Q624,MYCTH_2297550
G2Q628,MYCTH_2037236
G2Q633,MYCTH_59445
G2Q634,MYCTH_2137771
G2Q642,MYCTH_2299450
G2Q645,MYCTH_2299460
G2Q647,MYCTH_2299464
G2Q664,MYCTH_2299497
G2Q665,MYCTH_109566
G2Q668,MYCTH_2299507
G2Q673,MYCTH_59388
G2Q681,MYCTH_2299521
G2Q683,MYCTH_2295729
G2Q685,MYCTH_2313559
G2Q686,MYCTH_62866
G2Q688,MYCTH_2295737
G2Q695,MYCTH_2088125
G2Q698,MYCTH_2295750
G2Q699,MYCTH_2295756
G2Q6A1,MYCTH_2295763
G2Q6A2,MYCTH_2295764
G2Q6A3,MYCTH_2295767
G2Q6A6,MYCTH_2295771
G2Q6A8,MYCTH_2295774
G2Q6B0,MYCTH_2295777
G2Q6B8,MYCTH_2295800
G2Q6C0,MYCTH_2075565
