,kcat,MW,kcat_MW
R1492,2.0054166666666666,26425.197000000007,273.20515339961315
R1493,0.02510714285714286,33403.47680000003,2.7058774398512373
R1494_num1,5986.0,53445.10480000009,403209.98678254936
R1495,6.166667,52765.80310000008,420.72705987109237
R1500_num1,6123.455026703805,17194.656899999984,1282051.6410614578
R1501,6123.455026703805,52765.80310000008,417778.8795208097
R1502_num1,77.67126071428571,56786.09650000006,4924.0316874294795
R1503,18.063636363636363,47792.538400000056,1360.6536310088695
R1504,18.063636363636363,40581.61260000001,1602.4274725122898
R1505,91.32966666666667,75230.47150000032,4370.393983241201
R1506,91.32966666666667,75230.47150000032,4370.393983241201
R1507,1.51499,46022.074700000136,118.5075648056341
R1508_num1,1.8619411764705882,69946.97000000026,95.82957253608116
R1509,4207.556,48199.02370000016,314263.66007492284
R1510_num1,61.8785,72584.9422000003,3068.991904494471
R1511_num1,61.8785,72584.9422000003,3068.991904494471
R1512,1.488428125,46022.074700000136,116.4298064554657
R1514,91.32966666666667,75230.47150000032,4370.393983241201
R1515,91.32966666666667,75230.47150000032,4370.393983241201
R1517,61.44127,56930.478400000095,3885.2400017773193
R1518,0.65091,130321.0427000004,17.98079536084001
R1519_num1,1.07,85744.95340000032,44.92392668324648
R1521,0.65091,130321.0427000004,17.98079536084001
R1522_num1,1.07,85744.95340000032,44.92392668324648
R1524,0.65091,130321.0427000004,17.98079536084001
R1525_num1,1.07,85744.95340000032,44.92392668324648
R1540_num1,4.005,47753.74720000008,301.9239503784946
R1551_num1,0.26683,80465.43180000056,11.937896541555542
R1552_num1,1645.7755555555555,48036.805500000075,123338.59294619395
R1553,221.71215454545455,62587.09970000031,12752.847794345587
R1554,44.72038571428571,58166.43400000013,2767.805717150001
R1555,4.005,120127.0078000006,120.02296789082203
R1557,0.1175,62023.181100000125,6.820030712678153
R1558,6123.455026703805,62023.181100000125,355422.5646793478
R1560,6123.455026703805,62028.61370000021,355391.43600324605
R1563,44.72038571428571,58166.43400000013,2767.805717150001
R1564,0.1175,62023.181100000125,6.820030712678153
R1565,6123.455026703805,62028.61370000021,355391.43600324605
R1566,3035.356,61139.648400000224,178726.60190175317
R1567_num1,41.88115384615384,53147.119700000054,2836.882877138376
R1568,203.96,276703.08190000156,2653.588080617601
R1569,9.856923076923078,217195.36860000138,163.37789937995416
R1570,312.713,85422.67570000041,13178.781755252307
R1571_num1,6123.455026703805,27108.417299999994,813195.3205594819
R1572_num1,6123.455026703805,27108.417299999994,813195.3205594819
R1573,6123.455026703805,73027.84310000029,301863.469607712
R1574_num1,288.49794444444444,96024.3804000008,10815.926077040236
R1575_num1,6123.455026703805,68240.49860000022,323040.4019371222
R1576_num1,6123.455026703805,96024.3804000008,229571.26101001652
R1577,6123.455026703805,66993.72450000027,329052.2845335104
R1578_num1,51.006882608695655,100833.68430000005,1821.065833962632
R1579_num1,198.45833181818182,96024.3804000008,7440.297886529748
R1580,6123.455026703805,433672.7267000022,50831.96783869504
R1581_num1,72.88678571428571,109793.88260000077,2389.8638280911537
R1582_num1,72.88678571428571,109793.88260000077,2389.8638280911537
R1583,6123.455026703805,220910.68629999907,99788.91680322388
R1584,6123.455026703805,73027.84310000029,301863.469607712
R1587_num1,1351.0428571428572,53147.119700000054,91514.91770708848
R1588,1351.0428571428572,58688.41340000021,82874.18255055892
R1589,1351.0428571428572,106564.48170000096,45641.42018169495
R1590_num1,173.60965333333334,58365.93270000006,10708.21150434557
R1591_num1,801.6544444444445,89693.33980000057,32175.811564550324
R1592_num1,173.60965333333334,58365.93270000006,10708.21150434557
R1593_num1,1020.0,55619.86130000006,66019.5821092419
R1594,6123.455026703805,35726.27879999996,617037.0616973891
R1595_num1,38.5,68240.49860000022,2031.051982964256
R1596,46.81363636363636,68240.49860000022,2469.6345186008116
R1597,142.13625,59945.162000000135,8535.97659807807
R1598_num1,49.14213015873016,53147.119700000054,3328.716016409604
R1600_num1,17.5,54774.45940000009,1150.1710959834668
R1601,0.1,234419.49239999932,1.53570846994975
R1604,199.946,59744.18590000013,12048.128017089584
R1608,0.00895967,42932.23470000002,0.751295902144129
R1609,6123.455026703805,26247.701500000003,839861.6578344468
R1611,0.06466666666666666,60093.67300000017,3.873951921693975
R1613,6123.455026703805,64239.660700000204,343159.3170935541
R1617,0.2574125,51668.25360000007,17.93528783020448
R1619_num1,0.423,26934.678600000007,56.53678006018604
R1620,0.2574125,51668.25360000007,17.93528783020448
R1621_num1,0.423,26934.678600000007,56.53678006018604
R1624,13.09,59744.18590000013,788.762944713586
R1626,0.012,35176.99230000003,1.228075431565534
R1630_num1,0.423,26934.678600000007,56.53678006018604
R1632,1.3052,53972.531200000114,87.05761793139673
R1634,6123.455026703805,53972.531200000114,408438.1000113934
R1635_num1,128.978269271875,56449.02410000008,8225.505697958548
R1636_num1,0.26117617442990654,57199.293400000104,16.43786438710905
R1637_num1,10.705109166666666,57199.293400000104,673.7564523830276
R1638_num1,10.705109166666666,57199.293400000104,673.7564523830276
R1640,0.6625308852344263,38062.637000000024,62.662794142295844
R1641,0.1244023016904762,57199.293400000104,7.829612211358427
R1642,0.26117617442990654,57199.293400000104,16.43786438710905
R1643,0.26117617442990654,62411.62190000012,15.065050375620212
R1644_num1,0.6625308852344263,31771.598100000003,75.07054506156346
R1645_num1,0.1244023016904762,67821.88300000023,6.6033006793060105
R1646_num1,0.26117617442990654,67821.88300000023,13.863286985819315
R1647,0.26117617442990654,60231.46220000009,15.610350365156204
R1648,0.1244023016904762,58465.78810000019,7.66000597340298
R1649,0.26117617442990654,58465.78810000019,16.081784895116474
R1650,0.26117617442990654,60721.0779000001,15.484478544602087
R1651_num1,0.13373834647007873,31771.598100000003,15.153724586875075
R1652_num1,6123.455026703805,70843.04730000038,311172.9229091699
R1654_num1,162.41692307692307,82054.15060000034,7125.7933791459
R1656_num1,162.41692307692307,82054.15060000034,7125.7933791459
R1657_num1,6123.455026703805,115695.01060000081,190539.22880347222
R1658,2.03814,59996.3588000001,122.29582172576758
R1659_num1,5.476,36347.70090000001,542.3616765813101
R1660_num1,2633.474494185185,30512.65860000002,310707.3789717773
R1661_num1,885.1684210526316,109793.88260000077,29023.5324621761
R1662,194.63636363636363,49256.77700000006,14225.269125726763
R1663,6123.455026703805,36418.30440000001,605312.0390781756
R1664,307.99642857142857,285047.6103000012,3889.831392342454
R1665,0.6108888888888889,37505.524800000065,58.63669450640499
R1667_num1,0.8233333333333334,57247.26020000016,51.77540356769758
R1668,194.63636363636363,49256.77700000006,14225.269125726763
R1669_num1,6123.455026703805,54876.459900000016,401710.28044273844
R1670_num1,6123.455026703805,53596.45600000001,411304.02532834804
R1671_num1,5.45,51390.24020000006,381.7845552704768
R1672_num1,4.3,33185.521500000024,466.46848686708114
R1673,25.07391304347826,82674.42190000053,1091.826043437035
R1674_num1,0.8233333333333334,57247.26020000016,51.77540356769758
R1675,139.41538715384615,38284.37490000001,13109.666673801328
R1677_num1,579.65,57745.37290000009,36136.92137054321
R1678_num1,579.65,57745.37290000009,36136.92137054321
R1679,79.058,40021.05680000006,7111.476376605817
R1680,1.2808499999999998,51242.42740000007,89.98519847637024
R1682_num1,2.841,58584.61250000017,174.57826489848287
R1684,2.841,58584.61250000017,174.57826489848287
R1685,948.8836559139785,48357.6454000001,70639.93982821827
R1686_num1,201.672,42453.978500000034,17101.323024413352
R1687,1.3642917125,100581.12040000055,48.83073628000641
R1690_num1,0.023,126801.64040000079,0.6529883977746985
R1691_num1,59.91666666666667,56927.98820000001,3788.9974126997167
R1692,4.39875,53538.80550000013,295.7761170073165
R1693,7.58825,41802.82350000001,653.489351024339
R1694,2151.6445714285715,29182.94730000002,265426.2565571248
R1695_num1,0.5995714285714286,40095.6915,53.83264540673012
R1696_num1,7.893761928571428,40095.6915,708.7430564168508
R1697_num1,0.8919166666666667,40095.6915,80.08092340794272
R1698,6123.455026703805,33592.87830000002,656223.5572452773
R1702,6123.455026703805,56045.557900000065,393330.6924246653
R1703_num1,0.07556666666666667,166262.3439000002,1.6362093401234652
R1705_num1,999.0,55156.76240000004,65203.246954900984
R1706_num1,7.433571428571429,27889.47330000001,959.5325395713778
R1707_num1,5986.0,53445.10480000009,403209.98678254936
R1708,0.069,40028.96020000003,6.205507181772856
R1709,6123.455026703805,77001.22040000008,286286.86638496025
R1710,0.015,63735.68700000034,0.8472490458916637
R1711_num1,999.0,100534.76670000069,35772.69951530086
R1712_num1,999.0,51313.96430000009,70086.1850971821
R1714,475.9896818181818,30147.228500000023,56839.813800643504
R1715,475.9896818181818,29628.244300000035,57835.450430164456
R1716,1.2096925,56045.557900000065,77.70273261924287
R1717,0.2345,56045.557900000065,15.062745945116179
R1718,6123.455026703805,55652.70620000006,396107.2084601283
R1719_num1,13772.7348,49003.635100000065,1011799.3324131975
R1720_num1,5986.0,53445.10480000009,403209.98678254936
R1721,6123.455026703805,285692.06000000023,77161.5357323325
R1723,6123.455026703805,64438.408500000165,342100.9085929495
R1724,10.9136,78224.52340000024,502.25886067846443
