,fluxes,equ,ec-code,kcat_MW,E
R1089_num3,0.0,C01997_c + h2o_c + nad_c --> C02415_c + C20658_c + h_c + ncam_c,2.3.1.286,955.6600827,0.0
R1089_num4,0.0,C01997_c + h2o_c + nad_c --> C02415_c + C20658_c + h_c + ncam_c,2.3.1.286,196.1650556,0.0
R1089_num5,0.0,C01997_c + h2o_c + nad_c --> C02415_c + C20658_c + h_c + ncam_c,2.3.1.286,829.0249100999997,0.0
R1089_num6,0.0,C01997_c + h2o_c + nad_c --> C02415_c + C20658_c + h_c + ncam_c,2.3.1.286,345.8890437,0.0
R1090_num2,0.0,C20743_c + h2o_c + nad_c --> C20658_c + h_c + ncam_c + pcollglys_c,2.3.1.286,569.7276975,0.0
R1090_num3,0.0,C20743_c + h2o_c + nad_c --> C20658_c + h_c + ncam_c + pcollglys_c,2.3.1.286,403.0683304,0.0
R1090_num4,0.0,C20743_c + h2o_c + nad_c --> C20658_c + h_c + ncam_c + pcollglys_c,2.3.1.286,153.8979966,0.0
R1090_num5,0.0,C20743_c + h2o_c + nad_c --> C20658_c + h_c + ncam_c + pcollglys_c,2.3.1.286,433.901496,0.0
R1090_num6,0.0,C20743_c + h2o_c + nad_c --> C20658_c + h_c + ncam_c + pcollglys_c,2.3.1.286,154.8349704,0.0
R1092_num2,0.0,h2o_c + rnam_c --> h_c + ncam_c + rib__D_c,3.2.2.3,2107.6404260000004,0.0
R1094_num2,0.0,h_c + nadph_c + no3_c --> h2o_c + nadp_c + no2_c,"1.7.1.2,1.7.1.3",324.1189433,0.0
R1094_num3,0.0,h_c + nadph_c + no3_c --> h2o_c + nadp_c + no2_c,"1.7.1.2,1.7.1.3",3388.621896,0.0
R1094_num4,0.0,h_c + nadph_c + no3_c --> h2o_c + nadp_c + no2_c,"1.7.1.2,1.7.1.3",308.1461925,0.0
R1095_num2,0.0,h_c + nadh_c + no3_c --> h2o_c + nad_c + no2_c,"1.7.1.1,1.7.1.2",296.4279439,0.0
R1095_num3,0.0,h_c + nadh_c + no3_c --> h2o_c + nad_c + no2_c,"1.7.1.1,1.7.1.2",3628.106407,0.0
R1095_num4,0.0,h_c + nadh_c + no3_c --> h2o_c + nad_c + no2_c,"1.7.1.1,1.7.1.2",496.1495483,0.0
R1098_num2,0.0,h_c + hco3_c --> co2_c + h2o_c,4.2.1.1,5136.8979100000015,0.0
R1098_num3,0.0,h_c + hco3_c --> co2_c + h2o_c,4.2.1.1,3733.214464,0.0
